iter	MultiClass
0	6.187279362
1	6.159563239
2	6.132041547
3	6.105461865
4	6.077884231
5	6.050970851
6	6.023991273
7	5.997429855
8	5.971150465
9	5.944886326
10	5.918108756
11	5.891158761
12	5.864373892
13	5.837162718
14	5.812872809
15	5.786803735
16	5.760963078
17	5.733984874
18	5.707303205
19	5.680313822
20	5.652498209
21	5.625633207
22	5.600364227
23	5.57465469
24	5.548108922
25	5.52143079
26	5.497857592
27	5.472608492
28	5.44660522
29	5.422338056
30	5.397613317
31	5.374926237
32	5.349110837
33	5.329291748
34	5.305505914
35	5.280842094
36	5.255326717
37	5.22971807
38	5.206829453
39	5.181864915
40	5.156925296
41	5.135189958
42	5.120578214
43	5.096790788
44	5.073239515
45	5.049305029
46	5.031175041
47	5.006402603
48	4.982182843
49	4.959541663
50	4.934796581
51	4.911192554
52	4.886830128
53	4.862420645
54	4.840156676
55	4.816493218
56	4.791822513
57	4.767593807
58	4.744015915
59	4.72025759
60	4.69862704
61	4.675912501
62	4.652775919
63	4.629649687
64	4.605401344
65	4.584394671
66	4.562502602
67	4.538003267
68	4.514783591
69	4.492301016
70	4.471030248
71	4.446259486
72	4.423355892
73	4.40503029
74	4.384825868
75	4.363259312
76	4.340867424
77	4.322725584
78	4.305209925
79	4.283614255
80	4.260969608
81	4.243712233
82	4.223058847
83	4.200202863
84	4.182097599
85	4.161851665
86	4.139171476
87	4.116428591
88	4.095012895
89	4.077624431
90	4.058229551
91	4.042659007
92	4.020883347
93	4.002256496
94	3.98052195
95	3.963003474
96	3.94519789
97	3.926651221
98	3.908795184
99	3.892289184
100	3.871996376
101	3.850243121
102	3.831531068
103	3.816581167
104	3.796738735
105	3.775279078
106	3.760872153
107	3.738998114
108	3.719931684
109	3.702992267
110	3.683616222
111	3.6639647
112	3.646391263
113	3.628478604
114	3.612029711
115	3.595611271
116	3.579349134
117	3.567198568
118	3.554318227
119	3.534424913
120	3.518429288
121	3.501087322
122	3.482160757
123	3.470826915
124	3.460017515
125	3.444237906
126	3.435632027
127	3.414764976
128	3.401635129
129	3.38952858
130	3.37101892
131	3.351138382
132	3.346790325
133	3.332892699
134	3.31437285
135	3.301456366
136	3.286906703
137	3.273589433
138	3.265323668
139	3.253105722
140	3.245481234
141	3.232434906
142	3.214634869
143	3.213067452
144	3.196061968
145	3.182618329
146	3.17039989
147	3.151665235
148	3.141744699
149	3.13151653
150	3.124749562
151	3.116360919
152	3.106566976
153	3.088983422
154	3.071829688
155	3.056204762
156	3.040131001
157	3.02782843
158	3.011567984
159	3.002287421
160	2.989170029
161	2.984150975
162	2.970943064
163	2.967165068
164	2.951268347
165	2.939814864
166	2.932907495
167	2.92451516
168	2.914253296
169	2.898811151
170	2.882510878
171	2.86794833
172	2.851716422
173	2.842359783
174	2.82635601
175	2.823776851
176	2.806921382
177	2.796144502
178	2.785898813
179	2.767972708
180	2.763486727
181	2.758716531
182	2.747000942
183	2.734336918
184	2.723106866
185	2.708537638
186	2.692348519
187	2.686737758
188	2.685025958
189	2.675378635
190	2.674483716
191	2.67391797
192	2.66117155
193	2.647536115
194	2.634174096
195	2.621968834
196	2.615507173
197	2.601887637
198	2.585806781
199	2.576474217
200	2.575312683
201	2.559946561
202	2.555856842
203	2.541513139
204	2.529739734
205	2.514204972
206	2.51307578
207	2.496399524
208	2.492182323
209	2.47798304
210	2.465329953
211	2.457310961
212	2.444071825
213	2.433372679
214	2.421731082
215	2.421099273
216	2.413507281
217	2.399612765
218	2.391157162
219	2.37988359
220	2.36690333
221	2.35136887
222	2.340223768
223	2.339791686
224	2.328633919
225	2.316465318
226	2.308769268
227	2.294826303
228	2.283262148
229	2.273868737
230	2.268842255
231	2.26487448
232	2.255364736
233	2.242408156
234	2.234069439
235	2.226382885
236	2.221373959
237	2.209635047
238	2.194875438
239	2.180034397
240	2.166692581
241	2.15357342
242	2.143484407
243	2.134853754
244	2.129303519
245	2.122454368
246	2.10953441
247	2.104127172
248	2.099260989
249	2.087361215
250	2.075194728
251	2.071785656
252	2.061700474
253	2.05333796
254	2.052487825
255	2.040231924
256	2.027869274
257	2.018479905
258	2.009777418
259	2.000251996
260	1.992159945
261	1.987028643
262	1.976158376
263	1.968305645
264	1.955203715
265	1.948573816
266	1.937560268
267	1.925594558
268	1.918506531
269	1.917759122
270	1.907379409
271	1.899225758
272	1.889585821
273	1.880224
274	1.870079521
275	1.857730499
276	1.846062922
277	1.845664189
278	1.833144648
279	1.822832537
280	1.809319387
281	1.799833416
