iter	Passed	Remaining
0	2645	2642781
1	5254	2621808
2	7618	2531850
3	9953	2478389
4	12315	2450865
5	14917	2471291
6	17201	2440203
7	19505	2418717
8	21843	2405184
9	24537	2429177
10	26852	2414280
11	29270	2409917
12	31640	2402273
13	34123	2403278
14	36325	2385395
15	38752	2383307
16	41230	2384104
17	43567	2376847
18	46125	2381509
19	48688	2385751
20	51229	2388275
21	53720	2388102
22	56292	2391215
23	58923	2396211
24	61477	2397626
25	63863	2392430
26	66104	2382201
27	68492	2377681
28	71091	2380354
29	73787	2385784
30	76161	2380660
31	78397	2371520
32	81020	2374157
33	83163	2362827
34	85384	2354160
35	87932	2354634
36	90145	2346208
37	92644	2345367
38	94993	2340743
39	97328	2335895
40	99598	2329643
41	101769	2321316
42	103961	2313738
43	106573	2315549
44	109294	2319465
45	112483	2332810
46	114800	2327759
47	117593	2332261
48	120492	2338537
49	122991	2336834
50	125728	2339535
51	128331	2339575
52	131072	2341991
53	133891	2345573
54	136464	2344702
55	139456	2350838
56	142435	2356431
57	145231	2358767
58	148020	2360793
59	150789	2362371
60	153504	2362969
61	156162	2362590
62	158763	2361293
63	161435	2360999
64	164466	2365792
65	167195	2366076
66	169915	2366130
67	172822	2368690
68	175623	2369641
69	178256	2368260
70	180941	2367531
71	183920	2370530
72	186716	2371048
73	189290	2368690
74	191873	2366439
75	194541	2365214
76	197317	2365243
77	199990	2363992
78	202736	2363546
79	205574	2364108
80	208326	2363610
81	210805	2359994
82	213421	2357922
83	216196	2357569
84	218774	2355045
85	221581	2354952
86	224488	2355843
87	227249	2355132
88	229995	2354220
89	232624	2352093
90	235333	2350747
91	237814	2347121
92	240401	2344558
93	242934	2341476
94	245843	2341983
95	248266	2337845
96	250985	2336496
97	253420	2332505
98	256023	2330068
99	258317	2324860
100	260958	2322790
101	263592	2320648
102	266177	2318067
103	268643	2314467
104	271484	2314079
105	274273	2313213
106	276566	2308163
107	279343	2307171
108	281914	2304456
109	284400	2301061
110	286991	2298521
111	289153	2292572
112	291748	2290094
113	294449	2288443
114	296979	2285454
115	299535	2282669
116	302042	2279513
117	304536	2276278
118	306885	2271980
119	309450	2269302
120	311894	2265746
121	314305	2261967
122	316869	2259304
123	319185	2254894
124	321570	2250994
125	324118	2248248
126	326618	2245181
127	329473	2244538
128	331805	2240326
129	334250	2236906
130	336947	2235173
131	339786	2234354
132	342142	2230358
133	344606	2227083
134	347100	2224015
135	349806	2222298
136	352180	2218483
137	354765	2215999
138	357175	2212432
139	359550	2208667
140	361941	2205019
141	364414	2201881
142	367072	2199868
143	369272	2195119
144	371921	2193054
145	374397	2189971
146	378253	2194899
147	380961	2193102
148	383383	2189660
149	385684	2185545
150	388044	2181784
151	390328	2177624
152	392590	2173358
153	395267	2171405
154	397886	2169120
155	400493	2166774
156	403070	2164257
157	405646	2161734
158	408267	2159451
159	410762	2156503
160	413349	2154036
161	415613	2149904
162	418164	2147264
163	420451	2143277
164	423053	2140906
165	425337	2136934
166	427633	2133048
167	429942	2129237
168	432265	2125516
169	434708	2122398
170	437164	2119350
171	439611	2116269
172	442072	2113260
173	444439	2109808
174	447062	2107580
175	449348	2103768
176	452782	2105311
177	455414	2103094
178	457947	2100419
179	460703	2098759
180	462944	2094759
181	465285	2091227
182	467687	2087983
183	470041	2084530
184	472446	2081316
185	475082	2079122
186	477866	2077570
187	480232	2074196
188	482509	2070448
189	484905	2067228
190	487160	2063419
191	489452	2059777
192	491817	2056461
193	494313	2053693
194	496815	2050956
195	499515	2049033
196	501830	2045533
197	504356	2042899
198	507116	2041209
199	509569	2038276
200	511893	2034842
201	514479	2032450
202	516987	2029750
203	519693	2027823
204	522296	2025489
205	524970	2023431
206	527198	2019656
207	529928	2017804
208	532301	2014594
209	534894	2012220
210	537385	2009463
211	540138	2007684
212	542773	2005458
213	545323	2002916
214	548016	2000898
215	550248	1997197
216	552676	1994219
217	555219	1991657
218	557761	1989095
219	560226	1986258
220	562650	1983278
221	565211	1980787
222	567686	1977992
223	569905	1974315
224	572322	1971333
225	574871	1968808
226	577197	1965521
227	579737	1962972
228	582267	1960386
229	584661	1957345
230	587097	1954450
231	589488	1951411
232	592041	1948909
233	594510	1946134
234	596994	1943406
235	599351	1940274
236	601596	1936786
237	604164	1934340
238	606825	1932193
239	609503	1930095
240	612167	1927948
241	614716	1925433
242	617232	1922818
243	619861	1920553
244	622182	1917336
245	624401	1913816
246	627115	1911812
247	629597	1909102
248	631898	1905847
249	634451	1903354
250	636983	1900799
251	639439	1898018
252	642043	1895677
253	644552	1893055
254	646819	1889728
255	649387	1887282
256	652003	1884973
257	654445	1882164
258	656990	1879653
259	659457	1876916
260	661940	1874228
261	664341	1871311
262	667055	1869276
263	669535	1866582
264	672148	1864260
265	674534	1861308
266	677233	1859222
267	679771	1856688
268	682228	1853937
269	684423	1850479
270	687236	1848690
271	689667	1845875
272	692004	1842811
273	694474	1840104
274	696582	1836445
275	698957	1833498
276	701231	1830289
